Database_id,Quality_grade,Scientific_name,latitude,longitude,Country_name,Database_origin,url,Author_notes
16169860,research,Saproamanita thiersii,39.05880135,-94.58228241,USA,iNaturalist,https://www.inaturalist.org/observations/16169860,
55840877,research,Saproamanita thiersii,39.07680349,-76.45953264,USA,iNaturalist,https://www.inaturalist.org/observations/55840877,
85853464,research,Saproamanita thiersii,39.07966183,-77.07303397,USA,iNaturalist,https://www.inaturalist.org/observations/85853464,"Looks right, though Florida!!!"
55840839,research,Saproamanita thiersii,39.08971968,-76.47197986,USA,iNaturalist,https://www.inaturalist.org/observations/55840839,
53492318,research,Saproamanita thiersii,39.12000217,-97.70059919,USA,iNaturalist,https://www.inaturalist.org/observations/53492318,
55236423,research,Saproamanita thiersii,39.13480833,-94.70997,USA,iNaturalist,https://www.inaturalist.org/observations/55236423,
55793031,research,Saproamanita thiersii,39.14881383,-77.03306667,USA,iNaturalist,https://www.inaturalist.org/observations/55793031,
26341887,research,Saproamanita thiersii,39.18319458,-96.57760363,USA,iNaturalist,https://www.inaturalist.org/observations/26341887,
56115807,research,Saproamanita thiersii,39.18683333,-76.87331333,USA,iNaturalist,https://www.inaturalist.org/observations/56115807,
94518559,research,Saproamanita thiersii,39.19451333,-96.58112167,USA,iNaturalist,https://www.inaturalist.org/observations/94518559,
54940389,research,Saproamanita thiersii,39.22826387,-94.4454224,USA,iNaturalist,https://www.inaturalist.org/observations/54940389,
31812181,research,Saproamanita thiersii,39.2625,-76.57948333,USA,iNaturalist,https://www.inaturalist.org/observations/31812181,
7309566,research,Saproamanita thiersii,39.26426353,-76.57779048,USA,iNaturalist,https://www.inaturalist.org/observations/7309566,
56600479,research,Saproamanita thiersii,39.26427833,-76.57784167,USA,iNaturalist,https://www.inaturalist.org/observations/56600479,
55903827,research,Saproamanita thiersii,39.27761333,-76.71130333,USA,iNaturalist,https://www.inaturalist.org/observations/55903827,
92014749,research,Saproamanita thiersii,39.279244,-76.607622,USA,iNaturalist,https://www.inaturalist.org/observations/92014749,
92008983,research,Saproamanita thiersii,39.27940884,-76.60735319,USA,iNaturalist,https://www.inaturalist.org/observations/92008983,
31370655,research,Saproamanita thiersii,39.27986526,-76.60758209,USA,iNaturalist,https://www.inaturalist.org/observations/31370655,
56125388,research,Saproamanita thiersii,39.284367,-76.803494,USA,iNaturalist,https://www.inaturalist.org/observations/56125388,
56046644,research,Saproamanita thiersii,39.29111818,-76.58407329,USA,iNaturalist,https://www.inaturalist.org/observations/56046644,
91564359,research,Saproamanita thiersii,39.2925377,-76.5302481,USA,iNaturalist,https://www.inaturalist.org/observations/91564359,
55702568,research,Saproamanita thiersii,39.30605642,-76.61931711,USA,iNaturalist,https://www.inaturalist.org/observations/55702568,
55735275,research,Saproamanita thiersii,39.32359667,-76.62030833,USA,iNaturalist,https://www.inaturalist.org/observations/55735275,
55852403,research,Saproamanita thiersii,39.32628136,-76.62269016,USA,iNaturalist,https://www.inaturalist.org/observations/55852403,
55487292,research,Saproamanita thiersii,39.33354483,-76.61039642,USA,iNaturalist,https://www.inaturalist.org/observations/55487292,
94041306,research,Saproamanita thiersii,39.33566881,-76.6245774,USA,iNaturalist,https://www.inaturalist.org/observations/94041306,
54977769,research,Saproamanita thiersii,39.33746514,-76.57006816,USA,iNaturalist,https://www.inaturalist.org/observations/54977769,
92419931,research,Saproamanita thiersii,39.338254,-76.61774,USA,iNaturalist,https://www.inaturalist.org/observations/92419931,
32557024,research,Saproamanita thiersii,39.34722349,-84.55744788,USA,iNaturalist,https://www.inaturalist.org/observations/32557024,
56317280,research,Saproamanita thiersii,39.35489938,-77.42132473,USA,iNaturalist,https://www.inaturalist.org/observations/56317280,
55830048,research,Saproamanita thiersii,39.35891831,-76.65987209,USA,iNaturalist,https://www.inaturalist.org/observations/55830048,
2921579,research,Saproamanita thiersii,39.36367778,-76.67535278,USA,iNaturalist,http://www.inaturalist.org/observations/2921579,
16535848,research,Saproamanita thiersii,39.36418667,-76.61186167,USA,iNaturalist,https://www.inaturalist.org/observations/16535848,
56047395,research,Saproamanita thiersii,39.389287,-76.57258897,USA,iNaturalist,https://www.inaturalist.org/observations/56047395,
55821902,research,Saproamanita thiersii,39.39261442,-76.57334109,USA,iNaturalist,https://www.inaturalist.org/observations/55821902,
55732478,research,Saproamanita thiersii,39.48130308,-88.40156564,USA,iNaturalist,https://www.inaturalist.org/observations/55732478,
94053442,research,Saproamanita thiersii,39.53238213,-76.35372508,USA,iNaturalist,https://www.inaturalist.org/observations/94053442,
56067148,research,Saproamanita thiersii,39.70323237,-88.28284408,USA,iNaturalist,https://www.inaturalist.org/observations/56067148,
31517079,research,Saproamanita thiersii,39.7641063,-86.46634159,USA,iNaturalist,https://www.inaturalist.org/observations/31517079,
17408812,research,Saproamanita thiersii,39.76989243,-86.16842821,USA,iNaturalist,https://www.inaturalist.org/observations/17408812,
57416741,research,Saproamanita thiersii,39.78788651,-87.9827502,USA,iNaturalist,https://www.inaturalist.org/observations/57416741,
31997237,research,Saproamanita thiersii,39.88086319,-86.11592865,USA,iNaturalist,https://www.inaturalist.org/observations/31997237,
20348879,research,Saproamanita thiersii,39.9024214,-95.78595514,USA,iNaturalist,https://www.inaturalist.org/observations/20348879,
31584300,research,Saproamanita thiersii,39.91446007,-91.40513924,USA,iNaturalist,https://www.inaturalist.org/observations/31584300,
54307224,research,Saproamanita thiersii,40.00389812,-88.15968548,USA,iNaturalist,https://www.inaturalist.org/observations/54307224,
92457031,research,Saproamanita thiersii,40.02269455,-76.37433937,USA,iNaturalist,https://www.inaturalist.org/observations/92457031,
56847936,research,Saproamanita thiersii,40.07660597,-76.89686628,USA,iNaturalist,https://www.inaturalist.org/observations/56847936,
15956154,research,Saproamanita thiersii,40.08946031,-88.2087726,USA,iNaturalist,https://www.inaturalist.org/observations/15956154,
13981168,research,Saproamanita thiersii,40.11344623,-90.56567195,USA,iNaturalist,https://www.inaturalist.org/observations/13981168,
63540716,research,Saproamanita thiersii,40.1154969,-88.26199848,USA,iNaturalist,https://www.inaturalist.org/observations/63540716,
16030966,research,Saproamanita thiersii,40.18739083,-92.57682448,USA,iNaturalist,https://www.inaturalist.org/observations/16030966,
59515137,research,Saproamanita thiersii,40.39658257,-86.88951274,USA,iNaturalist,https://www.inaturalist.org/observations/59515137,
53399046,research,Saproamanita thiersii,40.42049152,-86.87095249,USA,iNaturalist,https://www.inaturalist.org/observations/53399046,
15751949,research,Saproamanita thiersii,40.45789633,-90.69914293,USA,iNaturalist,https://www.inaturalist.org/observations/15751949,
61047491,research,Saproamanita thiersii,40.472275,-88.99435556,USA,iNaturalist,https://www.inaturalist.org/observations/61047491,
15765280,research,Saproamanita thiersii,40.4725758,-90.67459983,USA,iNaturalist,https://www.inaturalist.org/observations/15765280,
60276048,research,Saproamanita thiersii,40.52065497,-85.671356,USA,iNaturalist,https://www.inaturalist.org/observations/60276048,
87345111,research,Saproamanita thiersii,40.5255092,-85.6704553,USA,iNaturalist,https://www.inaturalist.org/observations/87345111,
96327806,research,Saproamanita thiersii,40.5839593,-85.6657026,USA,iNaturalist,https://www.inaturalist.org/observations/96327806,
96327792,research,Saproamanita thiersii,40.6060816,-85.648413,USA,iNaturalist,https://www.inaturalist.org/observations/96327792,
94250131,research,Saproamanita thiersii,40.80575278,-96.70161389,USA,iNaturalist,https://www.inaturalist.org/observations/94250131,
86155987,CONFIRM_ND,Saproamanita thiersii,41.21124673,-88.39710172,USA,iNaturalist,https://www.inaturalist.org/observations/86155987,"Observer says ""smells like urine""! Yes Amanita"
64000564,research,Saproamanita thiersii,43.85,-91.25,USA,iNaturalist,https://www.inaturalist.org/observations/64000564,Looks right
